"day","Month","num_trips"
"Sun","Apr",77218
"Mon","Apr",51251
"Tue","Apr",60861
"Wed","Apr",91185
"Thu","Apr",108631
"Fri","Apr",85067
"Sat","Apr",90303
"Sun","May",102990
"Mon","May",56168
"Tue","May",63846
"Wed","May",76662
"Thu","May",89857
"Fri","May",128921
"Sat","May",133991
"Sun","Jun",81364
"Mon","Jun",79656
"Tue","Jun",94655
"Wed","Jun",88134
"Thu","Jun",99654
"Fri","Jun",115325
"Sat","Jun",105056
"Sun","Jul",90260
"Mon","Jul",76327
"Tue","Jul",93189
"Wed","Jul",137454
"Thu","Jul",147717
"Fri","Jul",148439
"Sat","Jul",102735
"Sun","Aug",132225
"Mon","Aug",110246
"Tue","Aug",91633
"Wed","Aug",107124
"Thu","Aug",115256
"Fri","Aug",124117
"Sat","Aug",148674
"Sun","Sep",162057
"Mon","Sep",116532
"Tue","Sep",137288
"Wed","Sep",163230
"Thu","Sep",135373
"Fri","Sep",153276
"Sat","Sep",160380
